customer_id,customer_country,account_created_at,customer_segment,historical_orders,historical_chargebacks,email_age_days,usual_device_id,lifetime_value
C000078,IT,2024-10-11,Occasional,4,0,509,DEV000078,106.23
C000079,FR,2019-07-11,Returning,21,0,2728,DEV000079,1176.23
C000080,NL,2020-11-30,Returning,5,0,2184,DEV000080,561.67
C000081,DE,2025-01-26,New,1,0,385,DEV000081,92.71
C000082,NL,2021-01-22,Returning,18,0,1950,DEV000082,557.41
C000083,AU,2023-03-13,Occasional,2,0,1625,DEV000083,102.23
C000084,IT,2025-09-18,Occasional,1,0,289,DEV000084,76.18
C000085,ES,2022-08-18,Occasional,4,0,1816,DEV000085,324.27
C000086,NL,2025-05-12,Occasional,3,0,316,DEV000086,259.59
C000087,DE,2024-09-11,Occasional,2,0,580,DEV000087,82.36
C000088,NL,2024-07-15,Occasional,4,0,1138,DEV000088,412.32
C000089,FR,2025-05-19,New,0,0,490,DEV000089,0.0
C000090,CA,2023-01-18,Returning,23,0,1805,DEV000090,1398.2
C000091,DE,2023-05-20,Returning,22,0,1092,DEV000091,1472.13
C000092,FR,2019-04-15,Returning,14,0,2724,DEV000092,518.23
C000093,FR,2025-03-05,New,0,0,496,DEV000093,0.0
C000094,US,2023-05-20,Occasional,5,0,1120,DEV000094,651.99
C000095,FR,2020-07-25,Returning,20,0,2147,DEV000095,1601.51
C000096,GB,2020-03-14,Returning,6,0,2342,DEV000096,769.71
C000097,ES,2018-02-15,Loyal,64,0,2886,DEV000097,4227.28
C000098,ES,2020-09-14,Returning,15,0,2048,DEV000098,1453.88
C000099,FR,2022-02-14,Returning,6,0,1652,DEV000099,393.3
C000100,FR,2019-11-30,Loyal,71,0,2805,DEV000100,1889.28
C000101,NL,2021-08-05,Returning,23,0,2176,DEV000101,1252.14
C000102,AU,2023-07-26,Returning,24,0,1149,DEV000102,2446.37
C000103,GB,2024-07-12,Occasional,3,0,964,DEV000103,106.44
C000104,NL,2025-03-22,New,2,0,745,DEV000104,177.12
C000105,AU,2023-01-13,Occasional,2,0,1490,DEV000105,110.14
C000106,CA,2024-10-25,Occasional,2,0,699,DEV000106,47.76
C000107,CA,2024-08-31,Occasional,5,0,1101,DEV000107,647.24
C000108,AU,2023-08-28,Loyal,83,0,1377,DEV000108,4565.14
C000109,IT,2025-08-06,New,2,0,510,DEV000109,182.55
C000110,FR,2023-06-11,Occasional,4,0,969,DEV000110,554.03
C000111,NL,2025-04-20,Occasional,6,0,281,DEV000111,511.16
C000112,GB,2025-01-14,Occasional,4,0,676,DEV000112,377.8
C000113,AU,2021-09-24,Returning,7,0,1607,DEV000113,417.38
C000114,IE,2025-04-03,New,1,0,560,DEV000114,112.53
C000115,DE,2022-01-24,Occasional,6,0,1991,DEV000115,488.31
C000116,FR,2023-06-13,Returning,15,0,946,DEV000116,584.16
C000117,CA,2021-07-13,Returning,22,0,1822,DEV000117,1203.8
C000118,DE,2023-11-23,Loyal,58,0,1070,DEV000118,9128.49
C000119,IE,2023-06-25,Occasional,2,0,1050,DEV000119,100.97
C000120,DE,2023-01-20,Returning,8,0,1552,DEV000120,351.58
C000121,NL,2025-11-08,New,0,0,593,DEV000121,0.0
C000122,IT,2024-04-29,Returning,10,0,837,DEV000122,300.08
C000123,GB,2022-11-04,Occasional,2,0,1850,DEV000123,342.52
C000124,NL,2017-04-05,Loyal,48,0,3564,DEV000124,4522.16
C000125,NL,2022-06-26,Occasional,5,0,1306,DEV000125,124.32
C000126,ES,2022-07-14,Loyal,50,0,1779,DEV000126,8333.09
C000127,ES,2025-01-21,New,2,0,923,DEV000127,195.52
C000128,ES,2023-01-28,Occasional,6,0,1434,DEV000128,606.72
C000129,AU,2024-12-17,Occasional,2,0,835,DEV000129,139.29
C000130,FR,2024-04-29,Occasional,3,0,1224,DEV000130,209.03
C000131,AU,2021-03-04,Returning,23,0,1874,DEV000131,1554.01
C000132,ES,2019-10-21,Returning,23,0,2636,DEV000132,646.65
C000133,AU,2020-07-17,Returning,12,0,2555,DEV000133,1364.23
C000134,GB,2023-02-26,Returning,5,0,1563,DEV000134,301.57
C000135,NL,2020-05-20,Returning,11,0,2245,DEV000135,202.49
C000136,IT,2023-08-18,Loyal,87,0,1256,DEV000136,5924.94
C000137,DE,2021-11-13,Loyal,21,0,1716,DEV000137,2793.6
C000138,IT,2023-08-06,Occasional,2,0,938,DEV000138,301.73
C000139,GB,2019-09-02,Returning,13,0,2951,DEV000139,1815.2
C000140,ES,2023-12-23,Occasional,4,0,1015,DEV000140,98.01
C000141,IT,2025-06-30,New,2,0,326,DEV000141,101.63
C000142,AU,2022-07-17,Occasional,4,0,1379,DEV000142,649.1
C000143,AU,2025-03-23,New,2,0,678,DEV000143,100.48
C000144,US,2025-01-19,New,1,0,362,DEV000144,128.31
C000145,FR,2021-07-01,Returning,14,0,1873,DEV000145,1911.87
C000146,IT,2021-12-23,Returning,17,0,1571,DEV000146,1091.87
C000147,DE,2022-01-13,Occasional,2,0,1615,DEV000147,188.48
C000148,IE,2023-08-04,Occasional,2,0,986,DEV000148,164.77
C000149,AU,2022-09-21,Occasional,1,0,1623,DEV000149,108.92
C000150,US,2023-05-12,Occasional,1,0,1244,DEV000150,135.3
C000151,FR,2020-07-14,Returning,12,0,2067,DEV000151,1763.62
C000152,GB,2025-01-30,Occasional,2,0,370,DEV000152,212.22
C000153,CA,2025-12-12,New,1,0,698,DEV000153,38.07
C000154,CA,2025-11-08,New,2,0,639,DEV000154,226.36
C000155,AU,2023-06-07,Returning,7,0,1085,DEV000155,737.19
C000156,CA,2022-05-04,Occasional,5,0,1678,DEV000156,347.69
C000157,GB,2025-08-17,New,0,0,199,DEV000157,0.0
C000158,ES,2025-07-09,New,1,0,726,DEV000158,42.35
C000159,ES,2025-05-09,New,1,0,531,DEV000159,93.65
C000160,IE,2019-08-28,Returning,6,0,2852,DEV000160,748.73
C000161,IE,2025-04-20,New,1,0,382,DEV000161,88.72
C000162,US,2023-02-03,Returning,13,0,1603,DEV000162,1483.91
C000163,IT,2019-01-20,Returning,5,0,3139,DEV000163,323.9
C000164,IT,2022-06-02,Occasional,4,0,2002,DEV000164,95.68
C000165,GB,2017-05-26,Loyal,95,1,3165,DEV000165,8110.3
C000166,NL,2020-06-15,Returning,5,0,2327,DEV000166,137.33
C000167,ES,2019-08-22,Returning,18,0,2967,DEV000167,1306.88
C000168,AU,2025-10-26,New,1,0,382,DEV000168,90.37
C000169,IT,2022-02-27,Returning,14,0,1959,DEV000169,699.03
C000170,US,2020-09-24,Loyal,55,0,2452,DEV000170,2191.86
C000171,GB,2025-05-31,New,0,0,588,DEV000171,0.0
C000172,US,2023-12-01,Returning,7,0,1162,DEV000172,1031.59
C000173,NL,2025-10-07,New,2,0,752,DEV000173,93.03
C000174,IE,2019-05-12,Returning,5,0,3076,DEV000174,713.76
C000175,IE,2022-03-08,Occasional,5,0,1956,DEV000175,406.42
C000176,CA,2025-05-21,New,1,0,889,DEV000176,89.05
C000177,FR,2025-06-14,New,2,0,518,DEV000177,248.73
C000178,AU,2022-05-17,Returning,19,0,1759,DEV000178,1018.47
C000179,AU,2025-09-13,New,1,0,597,DEV000179,60.42
C000180,DE,2025-07-19,Occasional,5,0,372,DEV000180,362.37
C000181,GB,2024-07-08,Occasional,4,0,962,DEV000181,451.31
C000182,DE,2025-06-18,New,2,0,405,DEV000182,101.33
C000183,IE,2025-05-05,New,0,0,320,DEV000183,0.0
C000184,DE,2017-07-18,Loyal,69,0,3374,DEV000184,4874.76
C000185,GB,2022-11-25,Occasional,5,0,1831,DEV000185,154.33
C000186,IE,2021-07-26,Returning,7,0,2137,DEV000186,757.5
C000187,AU,2023-11-27,Occasional,5,0,1269,DEV000187,420.63
C000188,IT,2023-02-27,Returning,5,0,1583,DEV000188,571.24
C000189,US,2025-05-28,New,1,0,837,DEV000189,58.89
C000190,DE,2022-02-06,Occasional,5,0,1454,DEV000190,432.14
C000191,CA,2024-03-17,Returning,13,0,696,DEV000191,1672.5
C000192,DE,2022-11-20,Returning,18,0,1252,DEV000192,1657.01
C000193,AU,2025-01-09,Occasional,6,0,788,DEV000193,178.57
C000194,FR,2020-01-04,Returning,16,0,2753,DEV000194,1829.05
C000195,CA,2022-09-14,Occasional,2,0,1818,DEV000195,52.84
C000196,IE,2020-07-02,Loyal,99,1,2683,DEV000196,13150.98
C000197,IT,2025-08-09,New,0,0,479,DEV000197,0.0
C000198,IE,2025-07-23,Occasional,6,0,394,DEV000198,548.8
C000199,AU,2023-02-18,Returning,13,0,1099,DEV000199,1159.93
C000200,CA,2021-06-30,Loyal,41,0,2189,DEV000200,1674.6
C000201,IT,2025-09-05,New,1,0,642,DEV000201,46.62
C000202,US,2025-08-18,New,2,0,603,DEV000202,177.86
C000203,ES,2025-04-16,Occasional,6,0,337,DEV000203,736.17
C000204,GB,2023-07-27,Returning,6,0,915,DEV000204,578.76
C000205,GB,2022-11-16,Returning,19,0,1411,DEV000205,2685.04
C000206,US,2025-02-23,New,2,0,836,DEV000206,245.26
C000207,NL,2023-01-09,Loyal,62,0,1614,DEV000207,7615.29
C000208,IE,2022-03-22,Occasional,1,0,1874,DEV000208,31.5
C000209,DE,2025-07-20,New,2,0,755,DEV000209,166.57
C000210,FR,2024-11-25,Occasional,1,0,1124,DEV000210,34.35
C000211,IE,2022-08-19,Returning,6,0,1272,DEV000211,598.69
C000212,AU,2025-05-17,New,2,0,466,DEV000212,179.94
C000213,GB,2021-05-04,Loyal,28,0,1810,DEV000213,2622.38
C000214,DE,2018-12-15,Loyal,73,0,2644,DEV000214,8850.04
C000215,US,2025-11-27,New,0,0,155,DEV000215,0.0
C000216,GB,2021-02-05,Returning,18,0,1915,DEV000216,2285.38
C000217,NL,2025-12-28,New,2,0,130,DEV000217,263.43
C000218,US,2021-11-05,Loyal,42,0,1994,DEV000218,4997.53
C000219,ES,2021-07-17,Returning,7,0,2106,DEV000219,916.16
C000220,NL,2023-07-13,Loyal,29,0,1189,DEV000220,1896.64
C000221,GB,2021-10-08,Loyal,20,0,1761,DEV000221,433.53
C000222,GB,2023-05-30,Occasional,5,0,1059,DEV000222,285.69
C000223,IT,2025-11-05,New,1,0,143,DEV000223,55.53
C000224,AU,2020-02-20,Loyal,40,0,2774,DEV000224,6395.0
C000225,GB,2023-07-27,Returning,5,0,1489,DEV000225,639.26
C000226,GB,2023-04-28,Occasional,2,0,1352,DEV000226,79.49
C000227,CA,2023-04-06,Returning,8,0,1729,DEV000227,1203.85
C000228,GB,2020-01-28,Loyal,58,0,2744,DEV000228,4231.35
C000229,CA,2025-07-28,New,2,0,768,DEV000229,62.85
C000230,GB,2019-07-05,Returning,10,0,3069,DEV000230,485.17
C000231,IE,2022-05-04,Occasional,5,0,1452,DEV000231,261.25
C000232,US,2022-10-03,Returning,19,0,1406,DEV000232,1925.79
C000233,AU,2025-05-31,New,1,0,617,DEV000233,163.88
C000234,ES,2021-10-30,Loyal,29,0,1674,DEV000234,2882.22
C000235,GB,2023-03-19,Occasional,1,0,1117,DEV000235,39.62
C000236,CA,2019-11-14,Returning,9,0,2363,DEV000236,1520.96
C000237,IT,2024-09-01,Occasional,2,0,817,DEV000237,237.46
C000238,IT,2022-04-29,Returning,17,0,1610,DEV000238,683.52
C000239,NL,2020-04-03,Returning,9,0,2281,DEV000239,477.51
C000240,AU,2023-03-09,Returning,18,0,1547,DEV000240,2106.53
C000241,IT,2021-01-06,Returning,12,0,2194,DEV000241,801.9
C000242,NL,2020-03-03,Returning,19,0,2205,DEV000242,811.14
C000243,FR,2023-09-13,Returning,18,0,1008,DEV000243,2386.06
C000244,ES,2025-01-18,New,2,0,983,DEV000244,257.6
C000245,ES,2024-07-24,Occasional,1,0,1171,DEV000245,24.46
C000246,AU,2023-09-23,Returning,22,0,1094,DEV000246,652.48
C000247,GB,2019-03-24,Returning,10,0,2564,DEV000247,707.34
C000248,IE,2020-11-02,Returning,5,0,2353,DEV000248,350.72
C000249,NL,2022-05-01,Loyal,67,0,1607,DEV000249,7764.98
C000250,AU,2022-10-31,Occasional,3,0,1536,DEV000250,83.42
C000251,ES,2025-06-04,New,1,0,276,DEV000251,167.69
C000252,AU,2025-04-01,New,1,0,809,DEV000252,111.63
C000253,DE,2025-01-19,New,0,0,593,DEV000253,0.0
C000254,CA,2020-12-04,Loyal,85,0,2013,DEV000254,9778.85
C000255,AU,2019-06-09,Returning,23,0,2816,DEV000255,1327.22
C000256,AU,2023-01-18,Occasional,6,0,1294,DEV000256,916.77
C000257,DE,2025-06-29,Occasional,6,0,914,DEV000257,563.52
C000258,IT,2025-07-05,Occasional,1,0,302,DEV000258,35.47
C000259,DE,2021-10-23,Returning,9,0,1981,DEV000259,471.53
C000260,NL,2022-06-02,Occasional,5,0,1525,DEV000260,204.21
C000261,ES,2022-07-17,Occasional,2,0,1850,DEV000261,235.55
C000262,ES,2024-02-22,Returning,7,0,702,DEV000262,479.7
C000263,US,2024-05-04,Occasional,4,0,782,DEV000263,186.44
C000264,IT,2025-03-02,Occasional,6,0,599,DEV000264,685.94
C000265,AU,2023-11-11,Occasional,1,0,1245,DEV000265,61.56
C000266,CA,2023-01-25,Occasional,3,0,1230,DEV000266,166.23
C000267,IT,2025-03-25,Occasional,3,0,502,DEV000267,117.88
C000268,IT,2023-01-29,Occasional,2,0,1161,DEV000268,244.2
C000269,FR,2021-08-20,Returning,13,0,1605,DEV000269,823.84
C000270,IE,2025-12-09,New,0,0,380,DEV000270,0.0
C000271,DE,2023-09-04,Returning,23,0,892,DEV000271,3755.03
C000272,IT,2023-07-26,Occasional,6,0,953,DEV000272,121.62
C000273,ES,2023-02-16,Returning,21,0,1059,DEV000273,740.9
C000274,NL,2025-10-04,New,2,0,708,DEV000274,69.54
C000275,FR,2023-05-18,Occasional,1,0,1640,DEV000275,149.99
C000276,CA,2020-02-12,Returning,14,0,2470,DEV000276,1935.76
C000277,DE,2022-10-18,Returning,18,0,1414,DEV000277,2427.54
C000278,IT,2025-06-13,Occasional,3,0,745,DEV000278,163.17
C000279,US,2024-09-03,Occasional,2,0,979,DEV000279,88.45
C000280,FR,2022-03-12,Occasional,2,0,1698,DEV000280,272.73
C000281,ES,2024-06-24,Returning,6,0,810,DEV000281,494.33
C000282,DE,2020-07-06,Returning,6,0,2145,DEV000282,505.92
C000283,GB,2025-03-08,Occasional,4,0,531,DEV000283,177.76
C000284,AU,2019-08-30,Loyal,34,0,2646,DEV000284,4431.22
C000285,DE,2019-01-03,Returning,15,0,3274,DEV000285,1894.43
C000286,CA,2025-10-25,New,1,0,648,DEV000286,24.62
C000287,ES,2024-10-28,Returning,13,0,1146,DEV000287,2062.82
C000288,CA,2024-06-30,Occasional,3,0,782,DEV000288,423.29
C000289,US,2020-05-03,Loyal,87,0,2525,DEV000289,10887.53
C000290,IE,2022-06-30,Loyal,21,0,1729,DEV000290,1821.26
C000291,AU,2025-09-10,New,0,0,445,DEV000291,0.0
C000292,CA,2020-09-06,Returning,5,0,2005,DEV000292,312.57
C000293,US,2023-05-17,Occasional,1,0,1328,DEV000293,28.17
C000294,IE,2022-07-28,Loyal,23,0,1550,DEV000294,1914.85
C000295,AU,2024-08-29,Returning,16,0,753,DEV000295,723.2
C000296,NL,2022-12-14,Occasional,1,0,1410,DEV000296,71.77
C000297,DE,2022-07-13,Returning,21,0,1475,DEV000297,1717.56
C000298,NL,2022-05-13,Occasional,6,0,1709,DEV000298,326.25
C000299,NL,2023-02-25,Returning,23,0,1274,DEV000299,3863.2
C000300,IT,2022-11-03,Returning,21,0,1460,DEV000300,3080.78
C000301,FR,2024-08-25,Occasional,3,0,575,DEV000301,274.44
C000302,ES,2020-06-04,Returning,5,0,2565,DEV000302,391.83
C000303,IT,2019-09-16,Returning,8,0,2807,DEV000303,448.71
C000304,IE,2023-11-30,Returning,17,0,847,DEV000304,1292.73
C000305,CA,2025-11-07,New,2,0,677,DEV000305,221.1
C000306,FR,2025-06-17,New,2,0,438,DEV000306,275.92
C000307,AU,2023-11-14,Occasional,1,0,1096,DEV000307,52.99
C000308,IE,2025-05-29,New,1,0,723,DEV000308,43.35
C000309,IE,2023-11-23,Returning,11,0,1373,DEV000309,618.8
C000310,DE,2018-11-05,Loyal,66,0,2632,DEV000310,9257.19
C000311,GB,2023-02-11,Returning,24,0,1279,DEV000311,1786.77
C000312,US,2025-01-21,Occasional,6,0,845,DEV000312,755.24
C000313,DE,2022-03-21,Returning,24,0,2101,DEV000313,3503.81
C000314,DE,2022-09-06,Occasional,3,0,1239,DEV000314,174.46
C000315,DE,2025-05-04,New,2,0,911,DEV000315,299.9
C000316,NL,2023-07-06,Occasional,6,0,1468,DEV000316,806.39
C000317,ES,2025-03-17,New,2,0,805,DEV000317,135.0
C000318,AU,2025-06-05,New,1,0,302,DEV000318,131.21
C000319,DE,2022-08-27,Returning,21,0,1317,DEV000319,2471.49
C000320,GB,2025-05-14,New,1,0,840,DEV000320,109.2
C000321,FR,2025-04-08,Occasional,3,0,284,DEV000321,148.55
C000322,IE,2021-10-08,Returning,21,0,2063,DEV000322,2533.6
C000323,NL,2025-01-30,New,1,0,373,DEV000323,121.0
C000324,ES,2024-11-01,Returning,15,0,675,DEV000324,529.44
C000325,CA,2025-12-09,New,2,0,513,DEV000325,100.17
C000326,ES,2025-03-17,New,1,0,908,DEV000326,147.56
C000327,GB,2023-11-26,Returning,16,0,875,DEV000327,438.1
C000328,FR,2022-11-24,Occasional,5,0,1556,DEV000328,664.57
C000329,NL,2024-07-31,Returning,23,0,796,DEV000329,1617.16
C000330,ES,2021-09-04,Returning,7,0,1620,DEV000330,807.67
C000331,IE,2023-06-22,Occasional,5,0,1261,DEV000331,689.26
C000332,IE,2025-06-19,New,1,0,500,DEV000332,47.52
C000333,AU,2022-10-13,Occasional,6,0,1367,DEV000333,495.37
C000334,IT,2022-09-02,Returning,20,0,1497,DEV000334,2875.21
C000335,NL,2025-08-06,New,1,0,163,DEV000335,141.33
C000336,IT,2023-02-28,Occasional,2,1,1206,DEV000336,109.08
C000337,NL,2025-01-08,New,2,0,655,DEV000337,138.81
C000338,NL,2017-01-13,Loyal,28,0,3745,DEV000338,3389.55
C000339,ES,2023-05-06,Returning,21,0,1517,DEV000339,2569.97
C000340,GB,2025-01-12,New,0,0,587,DEV000340,0.0
C000341,NL,2024-08-05,Returning,7,0,1196,DEV000341,308.94
C000342,GB,2025-05-12,New,2,0,530,DEV000342,101.18
C000343,ES,2025-05-18,Occasional,6,0,361,DEV000343,528.37
C000344,IT,2025-03-29,Occasional,4,0,992,DEV000344,358.87
C000345,IT,2023-11-27,Returning,9,0,1186,DEV000345,426.01
C000346,IE,2023-11-30,Occasional,1,0,958,DEV000346,116.91
C000347,IT,2025-02-05,New,1,0,611,DEV000347,119.6
C000348,ES,2022-09-12,Returning,23,0,1257,DEV000348,2870.28
C000349,ES,2023-04-15,Returning,12,0,1305,DEV000349,1842.01
C000350,GB,2022-06-08,Occasional,3,0,1500,DEV000350,329.16
C000351,CA,2023-10-02,Returning,6,0,978,DEV000351,331.28
C000352,CA,2022-09-27,Occasional,4,0,1578,DEV000352,176.34
C000353,NL,2022-02-22,Loyal,89,0,1452,DEV000353,4106.9
C000354,AU,2025-11-20,New,0,0,219,DEV000354,0.0
C000355,NL,2024-08-21,Occasional,4,0,626,DEV000355,385.6
C000356,DE,2025-07-15,New,1,0,772,DEV000356,116.97
C000357,ES,2019-11-30,Returning,19,0,2838,DEV000357,375.46
C000358,NL,2025-02-22,New,2,0,573,DEV000358,54.62
C000359,ES,2017-04-13,Loyal,94,0,3844,DEV000359,10012.42
C000360,IT,2022-04-17,Occasional,3,0,2031,DEV000360,295.52
C000361,FR,2017-05-20,Loyal,95,0,3582,DEV000361,4452.75
C000362,IE,2025-06-17,New,2,0,834,DEV000362,194.98
C000363,GB,2019-02-05,Returning,15,0,3156,DEV000363,1528.17
C000364,NL,2023-07-19,Occasional,6,0,1522,DEV000364,442.48
C000365,AU,2022-02-15,Occasional,1,0,1724,DEV000365,22.63
C000366,CA,2025-03-27,New,0,0,676,DEV000366,0.0
C000367,FR,2025-02-27,New,2,0,811,DEV000367,136.31
C000368,AU,2024-12-06,Occasional,1,0,768,DEV000368,99.43
C000369,IE,2025-12-01,New,0,0,215,DEV000369,0.0
C000370,FR,2023-07-10,Occasional,4,0,1522,DEV000370,209.77
C000371,GB,2024-10-18,Occasional,1,0,1072,DEV000371,72.08
C000372,FR,2025-04-27,New,2,0,457,DEV000372,75.83
C000373,AU,2025-10-03,New,2,0,780,DEV000373,111.9
C000374,CA,2023-04-10,Occasional,4,0,1101,DEV000374,646.86
C000375,IT,2024-05-27,Returning,15,0,687,DEV000375,1806.26
C000376,NL,2023-11-21,Occasional,6,0,825,DEV000376,313.17
C000377,IT,2025-11-13,New,1,0,532,DEV000377,130.96
C000378,IE,2020-04-25,Returning,14,0,2356,DEV000378,1887.71
C000379,FR,2025-02-25,Occasional,3,0,565,DEV000379,281.4
C000380,GB,2019-06-25,Returning,19,0,2386,DEV000380,2464.83
C000381,CA,2024-08-29,Occasional,5,0,1104,DEV000381,446.15
C000382,ES,2022-11-16,Occasional,2,0,1766,DEV000382,254.72
C000383,AU,2025-03-10,New,2,0,355,DEV000383,140.54
C000384,FR,2025-05-23,New,1,0,816,DEV000384,167.76
C000385,DE,2023-04-14,Occasional,6,0,1039,DEV000385,742.93
C000386,FR,2022-01-09,Occasional,6,0,1789,DEV000386,1022.07
C000387,IT,2022-07-25,Occasional,5,0,1314,DEV000387,94.59
C000388,US,2024-01-29,Occasional,3,0,1355,DEV000388,193.04
C000389,NL,2017-01-27,Loyal,21,0,3594,DEV000389,3551.45
C000390,US,2025-01-11,New,2,0,867,DEV000390,128.73
C000391,ES,2025-02-02,Occasional,1,0,897,DEV000391,82.02
C000392,FR,2020-03-06,Returning,11,0,2379,DEV000392,1240.93
C000393,CA,2023-07-07,Loyal,65,0,1266,DEV000393,4971.71
C000394,GB,2025-08-09,New,0,0,263,DEV000394,0.0
C000395,IT,2025-05-16,Occasional,5,0,627,DEV000395,348.78
C000396,US,2024-03-11,Returning,20,0,1291,DEV000396,2426.75
C000397,IT,2019-11-14,Loyal,77,0,2875,DEV000397,2190.87
C000398,CA,2025-09-10,New,1,0,373,DEV000398,33.45
C000399,IE,2025-02-07,New,2,0,521,DEV000399,127.31
