dispute_id,payment_id,dispute_date,dispute_reason,disputed_amount,dispute_fee,dispute_status,resolution_date,recovered_amount,net_dispute_loss
D000030,P0049269,2025-02-11,Processing Error,20.9,15.0,Pending,,0.0,35.9
D000031,P0042283,2025-03-25,Product Unacceptable,129.12,15.0,Won,2025-05-08,129.12,15.0
D000032,P0042420,2025-03-06,Fraudulent,267.52,15.0,Lost,2025-03-28,0.0,282.52
D000033,P0004720,2025-02-21,Subscription Cancelled,366.14,15.0,Won,2025-04-03,366.14,15.0
D000034,P0043745,2025-03-03,Product Not Received,264.29,15.0,Lost,2025-04-02,0.0,279.29
D000035,P0024883,2025-03-27,Product Not Received,58.08,15.0,Lost,2025-05-08,0.0,73.08
D000036,P0032311,2025-03-21,Product Not Received,19.36,15.0,Lost,2025-04-01,0.0,34.36
D000037,P0021564,2025-03-15,Product Unacceptable,29.79,15.0,Pending,,0.0,44.79
D000038,P0033613,2025-03-18,Product Not Received,491.37,15.0,Lost,2025-04-02,0.0,506.37
D000039,P0019415,2025-03-18,Fraudulent,36.22,15.0,Pending,,0.0,51.22
D000040,P0037909,2025-02-05,Product Unacceptable,126.36,15.0,Lost,2025-02-15,0.0,141.36
D000041,P0023781,2025-02-25,Subscription Cancelled,245.57,15.0,Won,2025-04-05,245.57,15.0
D000042,P0002083,2025-02-25,Processing Error,10.22,15.0,Lost,2025-03-30,0.0,25.22
D000043,P0011683,2025-03-23,Duplicate Payment,27.27,15.0,Lost,2025-04-20,0.0,42.27
D000044,P0022423,2025-02-23,Subscription Cancelled,24.97,15.0,Won,2025-03-12,24.97,15.0
D000045,P0030004,2025-03-23,Processing Error,48.91,15.0,Pending,,0.0,63.91
D000046,P0019585,2025-02-26,Subscription Cancelled,219.16,15.0,Lost,2025-03-09,0.0,234.16
D000047,P0005249,2025-02-18,Fraudulent,49.5,15.0,Lost,2025-03-06,0.0,64.5
D000048,P0011273,2025-03-18,Duplicate Payment,90.05,15.0,Lost,2025-03-27,0.0,105.05
D000049,P0046248,2025-04-09,Subscription Cancelled,17.05,15.0,Lost,2025-04-30,0.0,32.05
D000050,P0014771,2025-03-05,Product Not Received,183.4,15.0,Won,2025-04-17,183.4,15.0
D000051,P0035586,2025-03-06,Processing Error,824.8,15.0,Lost,2025-03-29,0.0,839.8
D000052,P0016072,2025-04-03,Processing Error,21.93,15.0,Lost,2025-04-29,0.0,36.93
D000053,P0035436,2025-03-12,Subscription Cancelled,37.88,15.0,Lost,2025-03-22,0.0,52.88
D000054,P0025944,2025-02-25,Subscription Cancelled,30.54,15.0,Pending,,0.0,45.54
D000055,P0035335,2025-02-25,Product Unacceptable,44.01,15.0,Won,2025-04-06,44.01,15.0
D000056,P0013943,2025-03-31,Processing Error,59.07,15.0,Pending,,0.0,74.07
D000057,P0027986,2025-03-11,Product Unacceptable,27.13,15.0,Lost,2025-04-20,0.0,42.13
D000058,P0034925,2025-04-08,Subscription Cancelled,351.63,15.0,Lost,2025-05-15,0.0,366.63
D000059,P0004015,2025-03-19,Product Unacceptable,98.75,15.0,Lost,2025-04-28,0.0,113.75
D000060,P0023252,2025-03-21,Duplicate Payment,19.72,15.0,Lost,2025-03-30,0.0,34.72
D000061,P0025772,2025-03-14,Product Unacceptable,59.71,15.0,Lost,2025-04-17,0.0,74.71
D000062,P0026611,2025-03-11,Product Not Received,374.38,15.0,Won,2025-04-23,374.38,15.0
D000063,P0011148,2025-04-30,Processing Error,665.49,15.0,Lost,2025-06-04,0.0,680.49
D000064,P0026176,2025-04-12,Product Not Received,594.04,15.0,Won,2025-05-03,594.04,15.0
D000065,P0048528,2025-04-27,Subscription Cancelled,37.92,15.0,Lost,2025-06-08,0.0,52.92
D000066,P0035695,2025-04-12,Duplicate Payment,97.8,15.0,Lost,2025-05-23,0.0,112.8
D000067,P0024389,2025-04-27,Processing Error,9.99,15.0,Lost,2025-05-13,0.0,24.99
D000068,P0039866,2025-03-24,Fraudulent,54.21,15.0,Won,2025-04-16,54.21,15.0
D000069,P0024197,2025-04-14,Product Unacceptable,299.63,15.0,Won,2025-05-20,299.63,15.0
D000070,P0042800,2025-03-14,Fraudulent,16.84,15.0,Lost,2025-03-28,0.0,31.84
D000071,P0026207,2025-04-22,Duplicate Payment,143.99,15.0,Lost,2025-05-21,0.0,158.99
D000072,P0034111,2025-04-16,Product Unacceptable,138.52,15.0,Lost,2025-05-11,0.0,153.52
D000073,P0034569,2025-04-25,Processing Error,34.82,15.0,Won,2025-06-07,34.82,15.0
D000074,P0022850,2025-03-16,Processing Error,43.53,15.0,Lost,2025-04-27,0.0,58.53
D000075,P0003724,2025-04-01,Product Not Received,20.49,15.0,Won,2025-04-11,20.49,15.0
D000076,P0003284,2025-05-11,Product Not Received,280.22,15.0,Lost,2025-06-12,0.0,295.22
D000077,P0009494,2025-04-12,Processing Error,100.55,15.0,Pending,,0.0,115.55
D000078,P0003680,2025-04-10,Processing Error,23.49,15.0,Won,2025-05-13,23.49,15.0
D000079,P0036213,2025-04-02,Product Unacceptable,18.91,15.0,Lost,2025-04-21,0.0,33.91
D000080,P0028624,2025-04-02,Product Not Received,353.29,15.0,Lost,2025-05-12,0.0,368.29
D000081,P0005892,2025-03-28,Subscription Cancelled,336.28,15.0,Pending,,0.0,351.28
D000082,P0027850,2025-03-15,Fraudulent,593.34,15.0,Lost,2025-04-23,0.0,608.34
D000083,P0033717,2025-04-10,Product Unacceptable,14.86,15.0,Lost,2025-05-12,0.0,29.86
D000084,P0020115,2025-05-11,Product Unacceptable,340.56,15.0,Lost,2025-06-06,0.0,355.56
D000085,P0045693,2025-04-22,Product Unacceptable,238.58,15.0,Lost,2025-05-06,0.0,253.58
D000086,P0009210,2025-04-20,Product Not Received,60.38,15.0,Lost,2025-05-12,0.0,75.38
D000087,P0003488,2025-04-22,Duplicate Payment,44.82,15.0,Won,2025-05-03,44.82,15.0
D000088,P0020803,2025-04-16,Product Unacceptable,17.99,15.0,Lost,2025-05-26,0.0,32.99
D000089,P0024005,2025-05-17,Product Unacceptable,560.56,15.0,Lost,2025-06-19,0.0,575.56
D000090,P0041152,2025-03-31,Processing Error,77.55,15.0,Won,2025-05-12,77.55,15.0
D000091,P0043181,2025-05-03,Subscription Cancelled,19.28,15.0,Lost,2025-05-13,0.0,34.28
D000092,P0015242,2025-05-10,Product Not Received,210.33,15.0,Lost,2025-05-23,0.0,225.33
D000093,P0020084,2025-05-19,Processing Error,63.06,15.0,Won,2025-07-01,63.06,15.0
D000094,P0023212,2025-04-13,Subscription Cancelled,24.06,15.0,Pending,,0.0,39.06
D000095,P0029426,2025-05-12,Product Unacceptable,40.6,15.0,Lost,2025-06-23,0.0,55.6
D000096,P0004226,2025-05-23,Product Not Received,51.84,15.0,Won,2025-06-22,51.84,15.0
D000097,P0007092,2025-04-10,Product Not Received,1375.15,15.0,Pending,,0.0,1390.15
D000098,P0036822,2025-04-17,Product Unacceptable,86.78,15.0,Pending,,0.0,101.78
D000099,P0041877,2025-05-13,Product Not Received,14.4,15.0,Won,2025-06-03,14.4,15.0
D000100,P0011823,2025-05-26,Fraudulent,573.1,15.0,Won,2025-06-07,573.1,15.0
D000101,P0045475,2025-05-13,Product Not Received,91.58,15.0,Lost,2025-06-14,0.0,106.58
D000102,P0035542,2025-05-27,Subscription Cancelled,19.75,15.0,Pending,,0.0,34.75
D000103,P0001163,2025-06-01,Product Not Received,625.27,15.0,Lost,2025-07-03,0.0,640.27
D000104,P0000628,2025-04-10,Product Not Received,485.47,15.0,Lost,2025-05-11,0.0,500.47
D000105,P0029843,2025-06-02,Product Not Received,71.46,15.0,Won,2025-07-11,71.46,15.0
D000106,P0002738,2025-06-01,Product Not Received,25.31,15.0,Lost,2025-06-10,0.0,40.31
D000107,P0012615,2025-04-09,Processing Error,196.04,15.0,Won,2025-04-24,196.04,15.0
D000108,P0006625,2025-04-17,Fraudulent,145.24,15.0,Won,2025-05-30,145.24,15.0
D000109,P0046307,2025-05-03,Fraudulent,40.44,15.0,Lost,2025-06-16,0.0,55.44
D000110,P0019929,2025-05-02,Fraudulent,754.18,15.0,Lost,2025-06-07,0.0,769.18
D000111,P0018225,2025-05-05,Product Not Received,38.61,15.0,Lost,2025-06-07,0.0,53.61
D000112,P0029380,2025-04-25,Product Not Received,596.11,15.0,Pending,,0.0,611.11
D000113,P0005790,2025-05-04,Processing Error,696.34,15.0,Won,2025-05-23,696.34,15.0
D000114,P0036016,2025-05-18,Subscription Cancelled,74.58,15.0,Lost,2025-06-16,0.0,89.58
D000115,P0017985,2025-04-16,Fraudulent,295.63,15.0,Lost,2025-04-25,0.0,310.63
D000116,P0020213,2025-06-02,Fraudulent,57.4,15.0,Lost,2025-07-01,0.0,72.4
D000117,P0014165,2025-06-11,Fraudulent,922.2,15.0,Lost,2025-07-22,0.0,937.2
D000118,P0041788,2025-06-10,Subscription Cancelled,72.04,15.0,Pending,,0.0,87.04
D000119,P0013128,2025-04-29,Product Not Received,49.71,15.0,Lost,2025-05-29,0.0,64.71
D000120,P0041821,2025-04-26,Product Not Received,676.37,15.0,Lost,2025-06-08,0.0,691.37
D000121,P0017102,2025-06-06,Product Not Received,246.08,15.0,Won,2025-06-24,246.08,15.0
D000122,P0010857,2025-05-31,Product Not Received,172.21,15.0,Won,2025-06-26,172.21,15.0
D000123,P0047046,2025-04-27,Duplicate Payment,18.24,15.0,Lost,2025-05-21,0.0,33.24
D000124,P0015521,2025-06-14,Duplicate Payment,59.59,15.0,Pending,,0.0,74.59
D000125,P0003300,2025-05-20,Product Unacceptable,29.81,15.0,Lost,2025-06-02,0.0,44.81
D000126,P0008809,2025-06-01,Duplicate Payment,93.06,15.0,Lost,2025-07-03,0.0,108.06
D000127,P0028475,2025-05-24,Processing Error,23.82,15.0,Lost,2025-06-11,0.0,38.82
D000128,P0001997,2025-04-30,Processing Error,139.58,15.0,Won,2025-06-09,139.58,15.0
D000129,P0042854,2025-05-26,Fraudulent,120.46,15.0,Lost,2025-07-03,0.0,135.46
D000130,P0032814,2025-06-22,Duplicate Payment,75.52,15.0,Won,2025-07-28,75.52,15.0
D000131,P0047036,2025-06-08,Subscription Cancelled,149.91,15.0,Lost,2025-06-16,0.0,164.91
D000132,P0039856,2025-06-22,Processing Error,1375.25,15.0,Lost,2025-07-06,0.0,1390.25
D000133,P0018751,2025-06-25,Duplicate Payment,795.19,15.0,Lost,2025-08-03,0.0,810.19
D000134,P0027794,2025-05-25,Subscription Cancelled,20.82,15.0,Pending,,0.0,35.82
D000135,P0019992,2025-06-02,Duplicate Payment,9.47,15.0,Won,2025-07-08,9.47,15.0
D000136,P0034385,2025-06-22,Product Not Received,25.75,15.0,Won,2025-07-26,25.75,15.0
D000137,P0008096,2025-06-25,Product Unacceptable,40.04,15.0,Lost,2025-07-14,0.0,55.04
D000138,P0000282,2025-06-01,Processing Error,19.63,15.0,Pending,,0.0,34.63
D000139,P0007400,2025-05-15,Subscription Cancelled,201.3,15.0,Lost,2025-06-14,0.0,216.3
D000140,P0047755,2025-06-05,Product Unacceptable,14.85,15.0,Pending,,0.0,29.85
D000141,P0017755,2025-06-30,Product Not Received,171.33,15.0,Lost,2025-08-08,0.0,186.33
D000142,P0047899,2025-06-27,Product Unacceptable,63.1,15.0,Lost,2025-07-08,0.0,78.1
D000143,P0004206,2025-05-19,Duplicate Payment,19.75,15.0,Pending,,0.0,34.75
D000144,P0023574,2025-05-12,Subscription Cancelled,21.43,15.0,Lost,2025-05-24,0.0,36.43
D000145,P0032913,2025-06-25,Fraudulent,206.07,15.0,Lost,2025-07-05,0.0,221.07
D000146,P0006428,2025-06-24,Duplicate Payment,21.35,15.0,Lost,2025-08-03,0.0,36.35
D000147,P0006691,2025-05-17,Subscription Cancelled,21.72,15.0,Lost,2025-06-21,0.0,36.72
D000148,P0010700,2025-06-05,Subscription Cancelled,300.18,15.0,Won,2025-07-02,300.18,15.0
D000149,P0008391,2025-06-28,Fraudulent,313.15,15.0,Lost,2025-07-30,0.0,328.15
D000150,P0040482,2025-07-05,Duplicate Payment,28.8,15.0,Lost,2025-08-12,0.0,43.8
D000151,P0041672,2025-06-11,Product Not Received,124.75,15.0,Lost,2025-07-09,0.0,139.75
D000152,P0013500,2025-05-25,Processing Error,15.22,15.0,Won,2025-06-14,15.22,15.0
D000153,P0048838,2025-05-17,Processing Error,43.01,15.0,Lost,2025-06-26,0.0,58.01
D000154,P0003708,2025-07-11,Product Unacceptable,85.48,15.0,Won,2025-08-23,85.48,15.0
D000155,P0002649,2025-07-04,Fraudulent,7.78,15.0,Pending,,0.0,22.78
D000156,P0007416,2025-06-16,Product Unacceptable,1279.2,15.0,Won,2025-06-23,1279.2,15.0
D000157,P0013511,2025-06-28,Fraudulent,24.08,15.0,Lost,2025-08-05,0.0,39.08
D000158,P0031565,2025-06-09,Fraudulent,13.67,15.0,Lost,2025-07-17,0.0,28.67
D000159,P0030247,2025-06-02,Product Unacceptable,98.15,15.0,Lost,2025-07-02,0.0,113.15
D000160,P0037505,2025-05-26,Product Unacceptable,466.88,15.0,Lost,2025-06-22,0.0,481.88
D000161,P0004254,2025-07-08,Product Not Received,26.07,15.0,Lost,2025-07-26,0.0,41.07
D000162,P0000712,2025-07-01,Product Not Received,101.29,15.0,Won,2025-07-27,101.29,15.0
D000163,P0022833,2025-05-25,Product Not Received,282.88,15.0,Pending,,0.0,297.88
D000164,P0012101,2025-07-16,Subscription Cancelled,21.45,15.0,Won,2025-08-28,21.45,15.0
D000165,P0043730,2025-06-14,Product Not Received,32.12,15.0,Pending,,0.0,47.12
D000166,P0007737,2025-05-25,Duplicate Payment,45.34,15.0,Lost,2025-06-20,0.0,60.34
D000167,P0032073,2025-07-09,Fraudulent,19.55,15.0,Won,2025-07-17,19.55,15.0
D000168,P0018389,2025-06-03,Product Unacceptable,602.45,15.0,Lost,2025-06-23,0.0,617.45
D000169,P0040077,2025-06-16,Duplicate Payment,14.15,15.0,Lost,2025-07-09,0.0,29.15
D000170,P0001592,2025-07-19,Product Unacceptable,236.55,15.0,Lost,2025-08-18,0.0,251.55
D000171,P0008628,2025-06-20,Fraudulent,9.42,15.0,Won,2025-07-26,9.42,15.0
D000172,P0002338,2025-07-12,Processing Error,99.54,15.0,Pending,,0.0,114.54
D000173,P0026856,2025-07-21,Subscription Cancelled,11.67,15.0,Lost,2025-08-11,0.0,26.67
D000174,P0043241,2025-07-21,Product Not Received,37.78,15.0,Lost,2025-08-30,0.0,52.78
D000175,P0011838,2025-05-31,Product Unacceptable,19.64,15.0,Lost,2025-06-14,0.0,34.64
D000176,P0026499,2025-06-09,Subscription Cancelled,16.3,15.0,Won,2025-06-18,16.3,15.0
D000177,P0013615,2025-07-15,Fraudulent,46.75,15.0,Won,2025-08-01,46.75,15.0
D000178,P0015465,2025-07-20,Product Unacceptable,17.29,15.0,Won,2025-08-22,17.29,15.0
D000179,P0009204,2025-06-30,Processing Error,72.91,15.0,Pending,,0.0,87.91
D000180,P0049557,2025-06-13,Product Not Received,160.13,15.0,Won,2025-06-28,160.13,15.0
D000181,P0031396,2025-07-12,Subscription Cancelled,76.17,15.0,Lost,2025-08-02,0.0,91.17
D000182,P0021011,2025-07-14,Product Not Received,56.01,15.0,Won,2025-08-21,56.01,15.0
D000183,P0012094,2025-07-28,Subscription Cancelled,75.13,15.0,Won,2025-08-14,75.13,15.0
D000184,P0025797,2025-08-01,Processing Error,163.17,15.0,Won,2025-08-10,163.17,15.0
D000185,P0001783,2025-07-13,Processing Error,30.44,15.0,Pending,,0.0,45.44
D000186,P0027769,2025-07-19,Product Not Received,54.45,15.0,Won,2025-08-20,54.45,15.0
D000187,P0000316,2025-06-26,Product Not Received,156.09,15.0,Won,2025-07-09,156.09,15.0
D000188,P0034685,2025-06-19,Product Unacceptable,264.08,15.0,Won,2025-07-23,264.08,15.0
D000189,P0037031,2025-07-02,Processing Error,82.45,15.0,Lost,2025-08-16,0.0,97.45
D000190,P0014385,2025-06-22,Product Unacceptable,66.66,15.0,Pending,,0.0,81.66
D000191,P0020151,2025-08-03,Product Not Received,39.64,15.0,Pending,,0.0,54.64
D000192,P0043763,2025-07-19,Product Not Received,21.76,15.0,Won,2025-07-29,21.76,15.0
D000193,P0044492,2025-07-23,Product Not Received,471.87,15.0,Won,2025-08-28,471.87,15.0
D000194,P0034427,2025-06-30,Processing Error,66.3,15.0,Lost,2025-08-13,0.0,81.3
D000195,P0016985,2025-07-20,Subscription Cancelled,17.64,15.0,Lost,2025-08-09,0.0,32.64
D000196,P0014645,2025-07-28,Subscription Cancelled,97.8,15.0,Lost,2025-09-08,0.0,112.8
D000197,P0013072,2025-07-22,Product Not Received,534.73,15.0,Won,2025-08-28,534.73,15.0
D000198,P0006924,2025-06-11,Product Not Received,547.91,15.0,Lost,2025-07-06,0.0,562.91
D000199,P0027741,2025-08-04,Duplicate Payment,59.99,15.0,Won,2025-08-22,59.99,15.0
D000200,P0046645,2025-07-14,Product Unacceptable,8.46,15.0,Pending,,0.0,23.46
D000201,P0021459,2025-07-09,Subscription Cancelled,37.23,15.0,Won,2025-07-30,37.23,15.0
D000202,P0046777,2025-08-03,Product Unacceptable,118.05,15.0,Lost,2025-08-18,0.0,133.05
D000203,P0044445,2025-06-24,Product Unacceptable,39.58,15.0,Lost,2025-07-27,0.0,54.58
D000204,P0011468,2025-07-25,Product Unacceptable,178.65,15.0,Won,2025-08-20,178.65,15.0
D000205,P0009938,2025-07-07,Product Unacceptable,195.77,15.0,Won,2025-08-10,195.77,15.0
D000206,P0041327,2025-07-23,Subscription Cancelled,122.2,15.0,Won,2025-08-23,122.2,15.0
D000207,P0046616,2025-07-11,Product Unacceptable,98.12,15.0,Pending,,0.0,113.12
D000208,P0010604,2025-08-09,Duplicate Payment,48.67,15.0,Lost,2025-08-31,0.0,63.67
D000209,P0042204,2025-07-25,Product Unacceptable,242.0,15.0,Lost,2025-08-18,0.0,257.0
D000210,P0048817,2025-07-01,Processing Error,72.46,15.0,Pending,,0.0,87.46
D000211,P0010682,2025-08-03,Duplicate Payment,29.86,15.0,Lost,2025-09-14,0.0,44.86
D000212,P0039793,2025-07-29,Product Not Received,20.75,15.0,Lost,2025-08-08,0.0,35.75
D000213,P0017521,2025-07-06,Product Not Received,942.76,15.0,Lost,2025-08-02,0.0,957.76
D000214,P0032386,2025-07-12,Product Not Received,34.8,15.0,Lost,2025-08-14,0.0,49.8
D000215,P0024645,2025-07-04,Processing Error,176.28,15.0,Won,2025-07-11,176.28,15.0
D000216,P0011836,2025-07-22,Fraudulent,62.79,15.0,Lost,2025-08-02,0.0,77.79
D000217,P0032288,2025-06-28,Product Not Received,87.41,15.0,Won,2025-07-14,87.41,15.0
D000218,P0042933,2025-07-21,Product Unacceptable,547.69,15.0,Won,2025-08-17,547.69,15.0
D000219,P0017337,2025-08-04,Duplicate Payment,65.55,15.0,Won,2025-08-20,65.55,15.0
D000220,P0045570,2025-07-21,Product Unacceptable,31.62,15.0,Lost,2025-08-22,0.0,46.62
D000221,P0030790,2025-07-24,Product Not Received,515.63,15.0,Pending,,0.0,530.63
D000222,P0001489,2025-07-29,Processing Error,204.21,15.0,Lost,2025-08-20,0.0,219.21
D000223,P0032133,2025-07-11,Subscription Cancelled,128.61,15.0,Lost,2025-08-24,0.0,143.61
D000224,P0031323,2025-07-02,Fraudulent,930.84,15.0,Lost,2025-07-11,0.0,945.84
D000225,P0037259,2025-08-13,Duplicate Payment,63.13,15.0,Lost,2025-09-08,0.0,78.13
D000226,P0006942,2025-07-20,Product Not Received,62.56,15.0,Lost,2025-07-31,0.0,77.56
D000227,P0010409,2025-07-01,Product Unacceptable,300.49,15.0,Lost,2025-07-13,0.0,315.49
D000228,P0046175,2025-08-01,Product Not Received,501.56,15.0,Won,2025-09-01,501.56,15.0
D000229,P0039162,2025-07-11,Subscription Cancelled,164.96,15.0,Lost,2025-08-11,0.0,179.96
D000230,P0032027,2025-06-28,Product Not Received,31.49,15.0,Won,2025-07-16,31.49,15.0
D000231,P0043703,2025-07-24,Product Unacceptable,35.13,15.0,Lost,2025-07-31,0.0,50.13
D000232,P0024192,2025-07-12,Processing Error,102.67,15.0,Lost,2025-07-21,0.0,117.67
D000233,P0006846,2025-06-27,Product Not Received,1151.59,15.0,Won,2025-07-24,1151.59,15.0
D000234,P0009963,2025-07-04,Product Not Received,247.83,15.0,Won,2025-07-15,247.83,15.0
D000235,P0034776,2025-07-05,Fraudulent,65.79,15.0,Pending,,0.0,80.79
D000236,P0024020,2025-08-20,Duplicate Payment,36.22,15.0,Lost,2025-09-10,0.0,51.22
D000237,P0008746,2025-07-16,Product Unacceptable,937.06,15.0,Lost,2025-07-26,0.0,952.06
D000238,P0004663,2025-08-21,Processing Error,107.43,15.0,Won,2025-09-15,107.43,15.0
D000239,P0018696,2025-08-22,Product Unacceptable,38.81,15.0,Lost,2025-09-14,0.0,53.81
D000240,P0025178,2025-06-28,Processing Error,29.6,15.0,Lost,2025-07-12,0.0,44.6
D000241,P0011306,2025-08-10,Product Not Received,289.87,15.0,Lost,2025-09-22,0.0,304.87
D000242,P0048312,2025-08-05,Processing Error,48.19,15.0,Won,2025-09-04,48.19,15.0
D000243,P0015285,2025-08-11,Product Not Received,34.68,15.0,Lost,2025-08-21,0.0,49.68
D000244,P0030608,2025-07-28,Processing Error,1048.86,15.0,Pending,,0.0,1063.86
D000245,P0010496,2025-08-13,Product Not Received,832.11,15.0,Lost,2025-09-12,0.0,847.11
D000246,P0001235,2025-07-26,Product Unacceptable,186.98,15.0,Won,2025-08-20,186.98,15.0
D000247,P0038828,2025-07-16,Duplicate Payment,176.02,15.0,Lost,2025-08-15,0.0,191.02
D000248,P0016998,2025-07-12,Product Unacceptable,29.73,15.0,Lost,2025-08-08,0.0,44.73
D000249,P0000528,2025-08-22,Product Unacceptable,23.63,15.0,Won,2025-09-14,23.63,15.0
D000250,P0017312,2025-08-27,Fraudulent,146.4,15.0,Lost,2025-09-10,0.0,161.4
D000251,P0033480,2025-08-13,Duplicate Payment,92.8,15.0,Lost,2025-09-19,0.0,107.8
D000252,P0014627,2025-07-19,Processing Error,783.61,15.0,Won,2025-08-13,783.61,15.0
D000253,P0039371,2025-08-10,Product Not Received,21.13,15.0,Won,2025-08-27,21.13,15.0
D000254,P0013286,2025-08-06,Product Not Received,42.91,15.0,Won,2025-09-04,42.91,15.0
D000255,P0015381,2025-08-12,Processing Error,605.74,15.0,Pending,,0.0,620.74
D000256,P0014595,2025-07-14,Product Not Received,53.58,15.0,Won,2025-08-26,53.58,15.0
D000257,P0001315,2025-07-22,Product Unacceptable,142.4,15.0,Won,2025-08-25,142.4,15.0
D000258,P0040426,2025-08-06,Product Unacceptable,420.2,15.0,Won,2025-09-04,420.2,15.0
D000259,P0019388,2025-08-08,Processing Error,84.9,15.0,Pending,,0.0,99.9
D000260,P0043858,2025-07-25,Processing Error,223.45,15.0,Won,2025-08-12,223.45,15.0
D000261,P0046805,2025-08-29,Subscription Cancelled,151.1,15.0,Lost,2025-09-20,0.0,166.1
D000262,P0012209,2025-07-23,Product Unacceptable,658.39,15.0,Won,2025-08-14,658.39,15.0
D000263,P0047463,2025-08-15,Subscription Cancelled,44.47,15.0,Lost,2025-09-04,0.0,59.47
D000264,P0047247,2025-08-15,Product Unacceptable,26.41,15.0,Lost,2025-08-28,0.0,41.41
D000265,P0022814,2025-08-18,Product Not Received,135.89,15.0,Won,2025-09-14,135.89,15.0
D000266,P0039888,2025-08-17,Product Not Received,40.6,15.0,Won,2025-09-13,40.6,15.0
D000267,P0025551,2025-08-10,Product Not Received,279.24,15.0,Lost,2025-09-20,0.0,294.24
D000268,P0039361,2025-07-15,Fraudulent,44.34,15.0,Lost,2025-08-14,0.0,59.34
D000269,P0010765,2025-07-29,Product Unacceptable,22.94,15.0,Lost,2025-08-05,0.0,37.94
D000270,P0006577,2025-08-19,Fraudulent,23.79,15.0,Won,2025-09-08,23.79,15.0
D000271,P0037532,2025-08-15,Fraudulent,30.76,15.0,Lost,2025-09-10,0.0,45.76
D000272,P0047551,2025-07-27,Subscription Cancelled,104.67,15.0,Won,2025-08-30,104.67,15.0
D000273,P0024928,2025-07-17,Fraudulent,7.61,15.0,Lost,2025-08-10,0.0,22.61
D000274,P0014115,2025-09-02,Product Unacceptable,1360.35,15.0,Won,2025-09-11,1360.35,15.0
D000275,P0006546,2025-07-12,Processing Error,1050.0,15.0,Lost,2025-08-14,0.0,1065.0
D000276,P0011638,2025-07-31,Processing Error,64.97,15.0,Won,2025-08-12,64.97,15.0
D000277,P0009225,2025-07-16,Subscription Cancelled,5.15,15.0,Lost,2025-07-26,0.0,20.15
D000278,P0038349,2025-09-06,Subscription Cancelled,38.52,15.0,Won,2025-09-13,38.52,15.0
