payment_id,transaction_timestamp,merchant_id,customer_id,amount,currency,processing_fee,payment_method,card_type,card_network,issuer_country,billing_country,ip_country,device_type,device_id,is_new_device,is_new_customer,is_cross_border,country_mismatch_flag,velocity_1h,authentication_used,authentication_result,risk_score,decision,authorisation_status,decline_reason,confirmed_fraud,refund_status
P0032392,2025-01-01 10:32:33,M00037,C008229,6.47,EUR,0.29,Digital Wallet,Credit,Amex,IE,IE,IE,Mobile,NEWDEV438067,1,0,1,0,1,1,Successful,37,Approve,Approved,Not Applicable,0,Not Refunded
P0003891,2025-01-01 10:46:10,M00062,C002351,45.41,AUD,0.84,Card,Credit,Mastercard,IE,IE,IE,Mobile,DEV002351,0,0,1,0,1,1,Successful,34,Approve,Approved,Not Applicable,0,Not Refunded
P0032482,2025-01-01 11:00:33,M00024,C008229,53.22,EUR,0.95,Card,Credit,Visa,IE,IE,IE,Mobile,DEV008229,0,0,1,0,2,0,Not Attempted,19,Approve,Approved,Not Applicable,0,Not Refunded
P0022240,2025-01-01 11:14:12,M00029,C003639,523.63,USD,7.53,Digital Wallet,Credit,Visa,AU,AU,AU,Mobile,DEV003639,0,0,1,0,1,1,Successful,34,Approve,Approved,Not Applicable,0,Not Refunded
P0027847,2025-01-01 11:35:02,M00025,C004302,270.22,EUR,3.98,Card,Credit,Visa,ES,ES,ES,Mobile,DEV004302,0,0,1,0,1,1,Successful,32,Approve,Approved,Not Applicable,0,Not Refunded
P0016637,2025-01-01 12:04:09,M00095,C007601,698.27,GBP,9.98,Card,Credit,Mastercard,CA,CA,CA,Tablet,DEV007601,0,0,1,0,1,0,Not Attempted,28,Approve,Approved,Not Applicable,0,Not Refunded
P0039253,2025-01-01 12:05:45,M00064,C001771,94.06,EUR,1.52,Card,Debit,Amex,ES,ES,ES,Tablet,DEV001771,0,0,1,0,1,1,Failed,30,Approve,Approved,Not Applicable,0,Not Refunded
P0027403,2025-01-01 12:25:33,M00087,C004804,55.39,CAD,0.98,Digital Wallet,Debit,Mastercard,GB,GB,GB,Mobile,DEV004804,0,0,1,0,1,0,Not Attempted,28,Approve,Approved,Not Applicable,0,Not Refunded
P0003736,2025-01-01 12:33:00,M00042,C002910,124.29,EUR,1.94,Digital Wallet,Credit,Amex,US,US,IT,Desktop,DEV002910,0,0,1,1,1,1,Successful,52,Approve,Approved,Not Applicable,0,Not Refunded
P0046218,2025-01-01 12:44:30,M00028,C005513,7.04,AUD,0.3,Card,Debit,Mastercard,IT,IT,ES,Mobile,NEWDEV152438,1,0,1,1,1,1,Failed,67,Review,Declined,Authentication Failed,0,Not Refunded
P0049579,2025-01-01 13:18:14,M00068,C008546,223.16,GBP,3.32,Bank Transfer,Not Applicable,Not Applicable,US,US,US,Mobile,DEV008546,0,0,1,0,1,0,Not Attempted,36,Approve,Approved,Not Applicable,0,Not Refunded
P0020583,2025-01-01 13:29:47,M00087,C005563,44.76,CAD,0.83,Digital Wallet,Credit,Visa,DE,DE,DE,Mobile,DEV005563,0,0,1,0,1,1,Successful,37,Approve,Approved,Not Applicable,0,Fully Refunded
P0013595,2025-01-01 14:16:36,M00016,C004614,87.69,EUR,1.43,Digital Wallet,Debit,Visa,IE,IE,IE,Mobile,DEV004614,0,0,1,0,1,0,Not Attempted,7,Approve,Approved,Not Applicable,0,Not Refunded
P0013669,2025-01-01 14:24:29,M00017,C004871,38.18,AUD,0.73,Card,Credit,Mastercard,GB,GB,GB,Mobile,DEV004871,0,0,1,0,1,1,Successful,34,Approve,Approved,Not Applicable,0,Not Refunded
P0012030,2025-01-01 14:45:18,M00037,C006388,8.23,EUR,0.32,Digital Wallet,Credit,Visa,NL,NL,NL,Desktop,DEV006388,0,0,1,0,1,1,Successful,31,Approve,Approved,Not Applicable,0,Not Refunded
P0049705,2025-01-01 14:53:43,M00055,C009586,36.72,GBP,0.71,Card,Debit,Visa,GB,GB,GB,Mobile,DEV009586,0,0,0,0,1,0,Not Attempted,10,Approve,Declined,Invalid Details,0,Not Refunded
P0028269,2025-01-01 15:44:28,M00043,C001501,40.04,USD,0.76,Card,Debit,Mastercard,IE,IE,IE,Desktop,NEWDEV009258,1,0,1,0,1,1,Successful,47,Approve,Approved,Not Applicable,0,Partially Refunded
P0029174,2025-01-01 16:16:36,M00038,C008709,46.52,CAD,0.85,Card,Credit,Mastercard,FR,FR,FR,Mobile,DEV008709,0,0,1,0,1,0,Not Attempted,10,Approve,Approved,Not Applicable,0,Not Refunded
P0008062,2025-01-01 16:40:32,M00090,C006434,51.19,USD,0.92,Card,Credit,Mastercard,IE,IE,IE,Desktop,NEWDEV334256,1,0,1,0,1,1,Successful,35,Approve,Approved,Not Applicable,0,Not Refunded
P0001377,2025-01-01 16:41:49,M00068,C001206,563.23,GBP,8.09,Card,Credit,Visa,ES,ES,ES,Mobile,DEV001206,0,1,1,0,1,1,Successful,55,Approve,Approved,Not Applicable,0,Not Refunded
P0011983,2025-01-01 16:56:37,M00026,C000226,277.62,EUR,4.09,Card,Credit,Visa,GB,GB,GB,Tablet,DEV000226,0,0,1,0,1,1,Successful,30,Approve,Approved,Not Applicable,0,Not Refunded
P0031268,2025-01-01 17:07:33,M00068,C002378,653.56,GBP,9.35,Card,Debit,Visa,DE,DE,DE,Mobile,DEV002378,0,0,1,0,1,0,Not Attempted,29,Approve,Approved,Not Applicable,0,Not Refunded
P0049863,2025-01-01 18:02:01,M00058,C009098,22.51,EUR,0.52,Bank Transfer,Not Applicable,Not Applicable,NL,NL,NL,Desktop,DEV009098,0,0,1,0,1,0,Not Attempted,15,Approve,Approved,Not Applicable,0,Not Refunded
P0012899,2025-01-01 18:02:23,M00001,C001829,45.59,EUR,0.84,Card,Debit,Visa,IE,IE,IE,Mobile,DEV001829,0,0,1,0,1,1,Successful,29,Approve,Approved,Not Applicable,0,Not Refunded
P0013226,2025-01-01 18:18:38,M00047,C002845,138.81,EUR,2.14,Digital Wallet,Credit,Mastercard,IT,IT,IT,Mobile,DEV002845,0,0,1,0,1,0,Not Attempted,27,Approve,Approved,Not Applicable,0,Not Refunded
P0011659,2025-01-01 18:19:04,M00037,C002455,34.63,EUR,0.68,Card,Credit,Visa,IT,IT,IT,Mobile,DEV002455,0,0,1,0,1,1,Successful,18,Approve,Approved,Not Applicable,0,Not Refunded
P0020089,2025-01-01 18:20:10,M00095,C009997,1203.74,GBP,17.05,Digital Wallet,Debit,Visa,US,US,US,Mobile,NEWDEV817996,1,1,1,0,1,1,Successful,48,Approve,Approved,Not Applicable,0,Not Refunded
P0008879,2025-01-01 19:22:06,M00032,C004091,115.3,GBP,1.81,Bank Transfer,Not Applicable,Not Applicable,US,US,US,Mobile,DEV004091,0,0,1,0,1,0,Not Attempted,17,Approve,Approved,Not Applicable,0,Not Refunded
P0036086,2025-01-01 19:45:26,M00042,C004980,165.55,EUR,2.52,Card,Debit,Visa,US,US,US,Mobile,DEV004980,0,0,1,0,1,1,Successful,30,Approve,Approved,Not Applicable,0,Not Refunded
P0021199,2025-01-01 19:54:07,M00057,C003254,52.28,GBP,0.93,Card,Debit,Mastercard,AU,AU,AU,Mobile,NEWDEV345000,1,0,1,0,1,1,Successful,32,Approve,Approved,Not Applicable,0,Not Refunded
P0015062,2025-01-01 20:13:10,M00037,C002671,28.6,EUR,0.6,Digital Wallet,Debit,Visa,GB,GB,GB,Mobile,DEV002671,0,0,1,0,1,1,Successful,27,Approve,Approved,Not Applicable,0,Not Refunded
P0045492,2025-01-01 20:23:47,M00071,C004876,258.62,EUR,3.82,Card,Debit,Visa,ES,ES,ES,Mobile,DEV004876,0,0,1,0,1,0,Not Attempted,19,Approve,Approved,Not Applicable,0,Not Refunded
P0037908,2025-01-01 21:32:46,M00072,C001378,119.24,GBP,1.87,Card,Credit,Mastercard,IT,DE,DE,Desktop,NEWDEV256008,1,1,1,1,1,1,Successful,78,Review,Declined,Invalid Details,0,Not Refunded
P0009714,2025-01-01 21:41:00,M00017,C004064,9.66,AUD,0.34,Card,Debit,Mastercard,IE,IE,IE,Mobile,DEV004064,0,0,1,0,1,0,Not Attempted,26,Approve,Approved,Not Applicable,0,Not Refunded
P0012880,2025-01-01 21:45:34,M00099,C004823,38.54,EUR,0.74,Card,Debit,Mastercard,FR,FR,FR,Mobile,DEV004823,0,0,1,0,1,0,Not Attempted,28,Approve,Approved,Not Applicable,0,Not Refunded
P0043682,2025-01-01 22:22:29,M00028,C009567,62.49,AUD,1.07,Card,Credit,Mastercard,GB,GB,GB,Mobile,DEV009567,0,0,1,0,1,1,Successful,21,Approve,Approved,Not Applicable,0,Not Refunded
P0001542,2025-01-01 22:24:37,M00057,C006531,136.81,GBP,2.12,Digital Wallet,Credit,Visa,IT,IT,IT,Mobile,DEV006531,0,0,1,0,1,0,Not Attempted,21,Approve,Approved,Not Applicable,0,Not Refunded
P0022817,2025-01-01 22:25:47,M00017,C007756,21.34,AUD,0.5,Card,Credit,Visa,FR,FR,FR,Desktop,NEWDEV746284,1,0,1,0,1,1,Successful,42,Approve,Approved,Not Applicable,0,Not Refunded
P0031915,2025-01-01 23:03:07,M00028,C001329,34.89,AUD,0.69,Card,Debit,Visa,NL,NL,NL,Desktop,DEV001329,0,0,1,0,1,0,Not Attempted,26,Approve,Approved,Not Applicable,0,Not Refunded
P0009135,2025-01-01 23:46:08,M00042,C001233,54.62,EUR,0.96,Card,Credit,Amex,GB,NL,NL,Mobile,DEV001233,0,0,1,1,1,1,Successful,45,Approve,Approved,Not Applicable,0,Not Refunded
P0032183,2025-01-02 00:05:36,M00096,C004163,24.94,USD,0.55,Card,Debit,Visa,AU,AU,IE,Mobile,DEV004163,0,0,1,1,1,1,Successful,56,Approve,Approved,Not Applicable,0,Not Refunded
P0049437,2025-01-02 00:23:00,M00060,C006457,87.37,EUR,1.42,Card,Debit,Visa,ES,ES,ES,Mobile,DEV006457,0,0,1,0,1,0,Not Attempted,20,Approve,Approved,Not Applicable,0,Not Refunded
P0003936,2025-01-02 00:27:30,M00058,C007422,36.68,EUR,0.71,Card,Debit,Amex,DE,DE,DE,Desktop,DEV007422,0,0,1,0,1,0,Not Attempted,14,Approve,Approved,Not Applicable,0,Not Refunded
P0029317,2025-01-02 00:32:22,M00017,C001459,57.89,AUD,1.01,Digital Wallet,Credit,Visa,GB,GB,GB,Mobile,DEV001459,0,0,1,0,1,1,Successful,46,Approve,Approved,Not Applicable,0,Not Refunded
P0046123,2025-01-02 00:38:25,M00087,C003353,8.28,CAD,0.32,Card,Credit,Visa,GB,GB,GB,Desktop,DEV003353,0,0,1,0,1,1,Successful,42,Approve,Approved,Not Applicable,0,Not Refunded
P0015644,2025-01-02 01:15:00,M00023,C005970,442.81,GBP,6.4,Card,Credit,Visa,US,US,GB,Mobile,DEV005970,0,0,1,1,1,1,Successful,50,Approve,Approved,Not Applicable,0,Not Refunded
P0040327,2025-01-02 01:39:50,M00068,C002847,239.0,GBP,3.55,Digital Wallet,Credit,Amex,DE,DE,DE,Mobile,DEV002847,0,0,1,0,1,0,Not Attempted,26,Approve,Approved,Not Applicable,0,Not Refunded
P0022518,2025-01-02 01:44:47,M00028,C001856,45.72,AUD,0.84,Card,Credit,Mastercard,NL,NL,NL,Mobile,DEV001856,0,0,1,0,1,0,Not Attempted,22,Approve,Approved,Not Applicable,0,Not Refunded
P0006716,2025-01-02 02:00:46,M00048,C002440,7.05,USD,0.3,Card,Credit,Mastercard,DE,DE,DE,Mobile,DEV002440,0,0,1,0,1,0,Not Attempted,27,Approve,Approved,Not Applicable,0,Not Refunded
P0043121,2025-01-02 02:10:49,M00017,C002155,35.37,AUD,0.7,Card,Credit,Visa,FR,FR,FR,Desktop,DEV002155,0,0,1,0,1,0,Not Attempted,22,Approve,Approved,Not Applicable,0,Not Refunded
P0001796,2025-01-02 02:12:29,M00043,C000266,63.1,USD,1.08,Card,Credit,Visa,CA,CA,CA,Mobile,DEV000266,0,0,1,0,1,1,Successful,30,Approve,Approved,Not Applicable,0,Not Refunded
P0020457,2025-01-02 02:20:16,M00068,C005237,306.78,GBP,4.49,Card,Debit,Mastercard,NL,NL,NL,Mobile,DEV005237,0,0,1,0,1,0,Not Attempted,27,Approve,Approved,Not Applicable,0,Not Refunded
P0029238,2025-01-02 02:24:28,M00031,C000368,103.33,EUR,1.65,Card,Credit,Mastercard,AU,AU,IT,Desktop,DEV000368,0,1,1,1,1,1,Successful,64,Review,Approved,Not Applicable,0,Not Refunded
P0012012,2025-01-02 02:28:20,M00010,C001276,24.97,EUR,0.55,Card,Credit,Mastercard,FR,FR,FR,Mobile,DEV001276,0,0,1,0,1,0,Not Attempted,10,Approve,Approved,Not Applicable,0,Not Refunded
P0013827,2025-01-02 02:40:52,M00009,C007954,144.01,USD,2.22,Card,Debit,Mastercard,US,US,GB,Desktop,DEV007954,0,0,0,1,1,1,Successful,44,Approve,Approved,Not Applicable,0,Not Refunded
P0004880,2025-01-02 04:31:18,M00058,C007756,20.42,EUR,0.49,Card,Debit,Visa,FR,FR,FR,Mobile,NEWDEV695517,1,0,1,0,1,1,Successful,28,Approve,Declined,Issuer Decline,0,Not Refunded
P0031152,2025-01-02 04:42:01,M00071,C005838,31.81,EUR,0.65,Card,Credit,Visa,FR,FR,NL,Desktop,DEV005838,0,0,1,1,1,0,Not Attempted,28,Approve,Approved,Not Applicable,0,Not Refunded
P0037137,2025-01-02 05:17:20,M00081,C006580,24.23,CAD,0.54,Card,Debit,Mastercard,NL,NL,NL,Mobile,DEV006580,0,0,1,0,1,1,Successful,11,Approve,Approved,Not Applicable,0,Not Refunded
P0024484,2025-01-02 05:24:26,M00017,C007561,54.97,AUD,0.97,Bank Transfer,Not Applicable,Not Applicable,AU,AU,AU,Desktop,DEV007561,0,0,0,0,1,0,Not Attempted,18,Approve,Approved,Not Applicable,0,Not Refunded
P0045323,2025-01-02 05:56:06,M00017,C009174,27.42,AUD,0.58,Digital Wallet,Credit,Visa,IT,IT,IT,Mobile,DEV009174,0,0,1,0,1,1,Successful,30,Approve,Approved,Not Applicable,0,Not Refunded
P0025310,2025-01-02 06:02:06,M00084,C005875,56.07,EUR,0.98,Card,Credit,Amex,NL,IT,IT,Desktop,DEV005875,0,0,0,1,1,0,Not Attempted,24,Approve,Approved,Not Applicable,0,Not Refunded
P0006581,2025-01-02 06:08:44,M00061,C008755,482.21,USD,6.95,Card,Credit,Mastercard,IT,IT,IT,Desktop,NEWDEV372660,1,0,1,0,1,1,Successful,53,Approve,Approved,Not Applicable,0,Not Refunded
P0022892,2025-01-02 06:25:02,M00071,C004417,168.09,EUR,2.55,Digital Wallet,Debit,Visa,US,US,US,Desktop,DEV004417,0,0,1,0,1,1,Successful,12,Approve,Approved,Not Applicable,0,Not Refunded
P0045490,2025-01-02 06:28:06,M00028,C009174,12.91,AUD,0.38,Card,Credit,Visa,IT,IT,IT,Mobile,DEV009174,0,0,1,0,2,1,Successful,38,Approve,Approved,Not Applicable,0,Not Refunded
P0018201,2025-01-02 06:36:55,M00095,C003550,160.58,GBP,2.45,Card,Debit,Mastercard,AU,AU,AU,Mobile,DEV003550,0,0,1,0,1,1,Successful,38,Approve,Approved,Not Applicable,0,Not Refunded
P0003453,2025-01-02 06:48:15,M00037,C006300,26.9,EUR,0.58,Digital Wallet,Debit,Mastercard,IE,IE,IE,Mobile,DEV006300,0,0,1,0,1,0,Not Attempted,23,Approve,Approved,Not Applicable,1,Fully Refunded
P0022300,2025-01-02 06:50:05,M00042,C000462,125.18,EUR,1.95,Digital Wallet,Debit,Visa,CA,CA,CA,Desktop,DEV000462,0,0,1,0,1,1,Successful,41,Approve,Approved,Not Applicable,0,Not Refunded
P0033315,2025-01-02 07:14:47,M00047,C007038,19.25,EUR,0.47,Bank Transfer,Not Applicable,Not Applicable,IT,IT,IT,Desktop,DEV007038,0,0,1,0,1,0,Not Attempted,13,Approve,Declined,Issuer Decline,0,Not Refunded
P0008798,2025-01-02 07:21:07,M00065,C007151,41.08,EUR,0.78,Card,Credit,Visa,CA,NL,NL,Tablet,NEWDEV131037,1,0,1,1,1,1,Successful,52,Approve,Approved,Not Applicable,0,Not Refunded
P0033455,2025-01-02 07:57:47,M00080,C007038,30.91,EUR,0.63,Bank Transfer,Not Applicable,Not Applicable,CA,CA,CA,Mobile,DEV007038,0,0,1,0,2,0,Not Attempted,16,Approve,Approved,Not Applicable,0,Not Refunded
P0026196,2025-01-02 08:12:43,M00068,C006998,198.14,GBP,2.97,Card,Credit,Visa,ES,ES,ES,Mobile,DEV006998,0,0,1,0,1,1,Successful,33,Approve,Declined,Insufficient Funds,0,Not Refunded
P0038364,2025-01-02 08:20:46,M00094,C005450,7.92,GBP,0.31,Card,Debit,Visa,CA,CA,CA,Mobile,DEV005450,0,0,1,0,1,1,Successful,37,Approve,Approved,Not Applicable,0,Not Refunded
P0012249,2025-01-02 08:22:21,M00022,C003544,707.48,USD,10.1,Card,Debit,Visa,AU,AU,AU,Mobile,DEV003544,0,1,1,0,1,1,Successful,36,Approve,Approved,Not Applicable,0,Not Refunded
P0002705,2025-01-02 08:45:05,M00028,C004647,19.89,AUD,0.48,Bank Transfer,Not Applicable,Not Applicable,IT,IT,IT,Mobile,DEV004647,0,0,1,0,1,0,Not Attempted,35,Approve,Approved,Not Applicable,0,Not Refunded
P0016099,2025-01-02 09:23:36,M00087,C005352,27.8,CAD,0.59,Card,Debit,Mastercard,US,US,US,Desktop,DEV005352,0,0,1,0,1,1,Successful,36,Approve,Approved,Not Applicable,0,Not Refunded
P0004506,2025-01-02 09:34:34,M00087,C002380,14.21,CAD,0.4,Card,Debit,Visa,AU,DE,DE,Desktop,NEWDEV098295,1,0,1,1,1,1,Failed,76,Review,Declined,Authentication Failed,0,Not Refunded
P0038419,2025-01-02 10:20:37,M00056,C007490,175.91,EUR,2.66,Card,Credit,Visa,ES,ES,ES,Tablet,DEV007490,0,0,1,0,1,1,Successful,29,Approve,Approved,Not Applicable,0,Not Refunded
P0026721,2025-01-02 10:55:32,M00011,C006019,153.83,EUR,2.35,Card,Credit,Visa,IT,NL,NL,Mobile,NEWDEV888260,1,0,1,1,1,1,Successful,69,Review,Approved,Not Applicable,0,Not Refunded
P0026725,2025-01-02 11:38:32,M00097,C006019,27.75,AUD,0.59,Digital Wallet,Debit,Visa,NL,NL,NL,Mobile,DEV006019,0,0,1,0,2,0,Not Attempted,28,Approve,Approved,Not Applicable,0,Not Refunded
P0042556,2025-01-02 11:43:32,M00043,C002732,76.35,USD,1.27,Card,Credit,Mastercard,IE,IE,IE,Desktop,DEV002732,0,0,1,0,1,1,Successful,33,Approve,Approved,Not Applicable,0,Not Refunded
P0042611,2025-01-02 12:01:32,M00056,C002732,302.89,EUR,4.44,Card,Credit,Mastercard,IE,IE,IE,Mobile,DEV002732,0,0,1,0,2,1,Successful,35,Approve,Approved,Not Applicable,0,Not Refunded
P0040166,2025-01-02 12:18:36,M00095,C003531,1284.53,GBP,18.18,Card,Credit,Mastercard,US,US,US,Mobile,DEV003531,0,0,1,0,1,1,Successful,38,Approve,Approved,Not Applicable,0,Not Refunded
P0013289,2025-01-02 12:38:18,M00064,C002863,533.08,EUR,7.66,Card,Debit,Mastercard,NL,NL,NL,Desktop,DEV002863,0,0,1,0,1,1,Successful,41,Approve,Approved,Not Applicable,0,Not Refunded
P0031892,2025-01-02 13:06:08,M00071,C007030,86.11,EUR,1.41,Card,Credit,Mastercard,IE,IE,IE,Mobile,NEWDEV191586,1,0,0,0,1,1,Successful,10,Approve,Approved,Not Applicable,0,Not Refunded
P0012120,2025-01-02 14:18:08,M00068,C004737,826.94,GBP,11.78,Card,Credit,Amex,DE,DE,DE,Mobile,DEV004737,0,0,1,0,1,0,Not Attempted,22,Approve,Approved,Not Applicable,0,Not Refunded
P0031704,2025-01-02 14:27:57,M00053,C002504,22.96,EUR,0.52,Digital Wallet,Credit,Amex,AU,AU,AU,Desktop,DEV002504,0,0,1,0,1,1,Successful,33,Approve,Approved,Not Applicable,0,Not Refunded
P0007912,2025-01-02 14:40:17,M00087,C001760,13.34,CAD,0.39,Card,Debit,Mastercard,NL,NL,NL,Tablet,DEV001760,0,0,1,0,1,0,Not Attempted,29,Approve,Approved,Not Applicable,0,Not Refunded
