merchant_id,merchant_name,industry,merchant_country,merchant_size,merchant_risk_category,currency,total_attempts,approved_payments,declined_payments,approval_rate_pct,approved_volume,fraud_payments,fraud_rate_pct,disputed_payments,dispute_rate_pct,gross_processing_revenue,total_losses,net_revenue,first_half_volume,second_half_volume,volume_growth_pct
M00072,"Synthetic Merchant 072",Ticketing,GB,Small,High,GBP,90,76,14,84.44,9620.41,2,2.63,1,1.32,149.92,183.45,-33.53,4575.11,5045.30,10.28
M00057,"Synthetic Merchant 057",Fashion,GB,Medium,Low,GBP,693,640,53,92.35,44466.26,3,0.47,11,1.72,750.54,834.53,-83.99,15370.68,29095.58,89.29
M00045,"Synthetic Merchant 045",Ticketing,GB,Small,High,GBP,292,255,37,87.33,32732.31,3,1.18,7,2.75,509.21,1026.76,-517.55,11598.61,21133.70,82.21
M00068,"Synthetic Merchant 068",Electronics,GB,Medium,Medium,GBP,743,673,70,90.58,252332.39,9,1.34,12,1.78,3667.21,4193.14,-525.93,91957.55,160374.84,74.40
M00094,"Synthetic Merchant 094",Gaming,GB,Enterprise,High,GBP,1443,1237,206,85.72,33248.92,11,0.89,29,2.34,712.70,1323.47,-610.77,10367.37,22881.55,120.71
M00095,"Synthetic Merchant 095",Travel,GB,Enterprise,High,GBP,1595,1363,232,85.45,722716.18,14,1.03,41,3.01,10390.61,18467.36,-8076.75,233569.06,489147.12,109.42
M00023,"Synthetic Merchant 023",Travel,GB,Enterprise,High,GBP,2054,1771,283,86.22,957489.42,17,0.96,62,3.50,13758.89,32954.73,-19195.84,312226.23,645263.19,106.67
M00061,"Synthetic Merchant 061",Travel,US,Small,High,USD,184,158,26,85.87,77403.95,0,0.00,2,1.27,1115.25,311.01,804.24,24442.37,52961.58,116.68
M00043,"Synthetic Merchant 043","Digital Products",US,Medium,High,USD,511,437,74,85.52,16208.59,3,0.69,2,0.46,314.27,152.69,161.58,5024.07,11184.52,122.62
M00015,"Synthetic Merchant 015","Subscription Software",US,Small,Low,USD,180,165,15,91.67,19538.62,0,0.00,4,2.42,306.50,150.62,155.88,6300.97,13237.65,110.09
M00070,"Synthetic Merchant 070",Fashion,US,Medium,Medium,USD,411,375,36,91.24,25764.55,1,0.27,5,1.33,435.77,286.36,149.41,8528.00,17236.55,102.12
M00033,"Synthetic Merchant 033",Fashion,US,Small,Medium,USD,112,102,10,91.07,6790.33,0,0.00,0,0.00,115.53,0.00,115.53,1467.27,5323.06,262.79
M00052,"Synthetic Merchant 052","Digital Products",US,Small,High,USD,178,162,16,91.01,6053.11,2,1.23,2,1.23,117.11,122.41,-5.30,1837.57,4215.54,129.41
M00004,"Synthetic Merchant 004",Fashion,US,Small,High,USD,160,141,19,88.13,9998.35,0,0.00,2,1.42,168.14,176.25,-8.11,3318.36,6679.99,101.30
M00096,"Synthetic Merchant 096","Food Delivery",US,Medium,High,USD,774,684,90,88.37,17190.09,2,0.29,11,1.61,377.47,398.31,-20.84,6116.00,11074.09,81.07
M00059,"Synthetic Merchant 059",Ticketing,US,Small,High,USD,185,151,34,81.62,19934.12,1,0.66,5,3.31,309.26,350.91,-41.65,7890.13,12043.99,52.65
M00090,"Synthetic Merchant 090",Fashion,US,Small,Low,USD,239,224,15,93.72,15579.75,3,1.34,3,1.34,262.95,310.80,-47.85,4496.51,11083.24,146.49
M00054,"Synthetic Merchant 054",Gaming,US,Small,High,USD,220,181,39,82.27,4815.79,2,1.10,3,1.66,103.58,171.99,-68.41,1090.62,3725.17,241.56
M00009,"Synthetic Merchant 009",Ticketing,US,Small,High,USD,203,171,32,84.24,21318.23,1,0.58,4,2.34,332.61,491.81,-159.20,7704.14,13614.09,76.71
M00034,"Synthetic Merchant 034",Gaming,US,Small,High,USD,253,222,31,87.75,5939.52,4,1.80,9,4.05,127.50,395.62,-268.12,2334.54,3604.98,54.42
M00048,"Synthetic Merchant 048",Gaming,US,Enterprise,Medium,USD,2721,2415,306,88.75,65384.83,23,0.95,43,1.78,1398.72,1777.75,-379.03,20365.49,45019.34,121.06
M00089,"Synthetic Merchant 089",Marketplace,US,Small,Medium,USD,176,162,14,92.05,38659.34,2,1.23,2,1.23,573.68,969.33,-395.65,14963.74,23695.60,58.35
M00022,"Synthetic Merchant 022",Travel,US,Small,High,USD,232,198,34,85.34,111911.35,3,1.52,4,2.02,1606.42,2584.63,-978.21,48208.35,63703.00,32.14
M00029,"Synthetic Merchant 029",Electronics,US,Small,High,USD,304,270,34,88.82,104632.43,6,2.22,11,4.07,1518.80,4844.21,-3325.41,38870.65,65761.78,69.18
