transaction_month,currency,total_attempts,approved_payments,declined_payments,approval_rate_pct,approved_volume,fraud_payments,fraud_rate_pct,disputed_payments,dispute_rate_pct,gross_processing_revenue,fraud_losses,nonfraud_dispute_losses,net_revenue
2025-06,AUD,578,516,62,89.27,32528.72,3,0.58,7,1.36,558.55,120.16,393.22,45.17
2025-06,CAD,580,529,51,91.21,64410.11,1,0.19,7,1.32,1007.56,56.16,253.68,697.72
2025-06,EUR,1436,1303,133,90.74,197392.58,7,0.54,33,2.53,3024.11,2867.38,3840.20,-3683.47
2025-06,GBP,701,609,92,86.88,201699.78,4,0.66,21,3.45,2945.64,1482.56,4195.65,-2732.57
2025-06,USD,519,469,50,90.37,54223.35,3,0.64,5,1.07,852.98,371.11,187.54,294.33
2025-07,AUD,636,550,86,86.48,32356.08,6,1.09,9,1.64,562.92,240.76,235.04,87.12
2025-07,CAD,623,554,69,88.92,62373.39,2,0.36,8,1.44,983.91,49.35,758.59,175.97
2025-07,EUR,1563,1421,142,90.91,224730.49,9,0.63,30,2.11,3430.43,2327.55,5737.20,-4634.32
2025-07,GBP,786,719,67,91.48,227829.06,9,1.25,16,2.23,3333.31,821.46,3358.27,-846.42
2025-07,USD,546,489,57,89.56,44255.99,4,0.82,11,2.25,717.42,236.53,336.30,144.59
2025-08,AUD,664,583,81,87.80,35571.88,3,0.51,11,1.89,614.59,589.65,443.33,-418.39
2025-08,CAD,635,585,50,92.13,58569.19,3,0.51,10,1.71,937.00,174.28,624.57,138.15
2025-08,EUR,1669,1498,171,89.75,221564.16,12,0.80,28,1.87,3401.18,2271.35,3430.01,-2300.18
2025-08,GBP,876,759,117,86.64,244346.27,3,0.40,27,3.56,3572.71,149.24,7933.17,-4509.70
2025-08,USD,576,517,59,89.76,54930.72,3,0.58,8,1.55,872.42,615.93,1274.46,-1017.97
2025-09,AUD,623,550,73,88.28,32036.70,5,0.91,11,2.00,558.48,159.76,359.80,38.92
2025-09,CAD,599,546,53,91.15,52760.08,6,1.10,14,2.56,847.82,412.61,334.37,100.84
2025-09,EUR,1463,1301,162,88.93,184448.79,5,0.38,27,2.08,2842.44,455.47,3305.19,-918.22
2025-09,GBP,642,558,84,86.92,157110.73,3,0.54,9,1.61,2311.12,479.43,2125.66,-293.97
2025-09,USD,546,474,72,86.81,38018.36,4,0.84,3,0.63,627.16,652.53,415.13,-440.50
2025-10,AUD,743,658,85,88.56,44380.90,17,2.58,15,2.28,752.78,1436.93,460.10,-1144.25
2025-10,CAD,684,607,77,88.74,58746.80,14,2.31,13,2.14,943.98,2105.09,259.70,-1420.81
2025-10,EUR,1727,1555,172,90.04,215525.81,24,1.54,26,1.67,3328.20,1944.54,2324.51,-940.85
2025-10,GBP,752,640,112,85.11,176033.17,18,2.81,20,3.13,2592.37,6197.07,3559.99,-7164.69
2025-10,USD,664,582,82,87.65,45491.52,15,2.58,16,2.75,753.30,856.59,489.29,-592.58
2025-11,AUD,1410,1231,179,87.30,67701.68,11,0.89,17,1.38,1194.07,519.79,657.92,16.36
2025-11,CAD,1001,900,101,89.91,85432.73,7,0.78,18,2.00,1376.17,462.01,1832.46,-918.30
2025-11,EUR,2777,2466,311,88.80,331681.23,10,0.41,39,1.58,5136.58,1314.20,3530.71,291.67
2025-11,GBP,1163,1033,130,88.82,270942.64,7,0.68,19,1.84,3999.78,1939.94,5956.17,-3896.33
2025-11,USD,1105,975,130,88.24,77246.46,13,1.33,26,2.67,1276.45,1914.31,1372.53,-2010.39
2025-12,AUD,1632,1424,208,87.25,77768.12,9,0.63,18,1.26,1373.43,282.86,685.03,405.54
2025-12,CAD,1286,1135,151,88.26,101966.33,7,0.62,23,2.03,1654.48,468.96,1507.23,-321.71
2025-12,EUR,3302,2924,378,88.55,386287.36,21,0.72,52,1.78,5993.01,3718.01,9954.97,-7679.97
2025-12,GBP,1454,1272,182,87.48,354895.49,7,0.55,34,2.67,5222.88,1932.21,8214.01,-4923.34
2025-12,USD,1303,1129,174,86.65,104221.12,8,0.71,24,2.13,1684.99,721.51,1886.32,-922.84
